,,,,,,
,,,,,,
Item,Quanity ,Description,Item Cost CAD,Shipping Cost CAD,Total Cost CAD,Link
Custom Mouse Enclosure,1,3D printed mouse enclosure ,0.00,0.00,0,(see attached CAD step file)
Bambu Labs Wireless Mouse Kit,1,Hardware for wireless mouse project,16.00,8.00,25.2,https://ca.store.bambulab.com/products/wireless-mouse-components-kit-002?srsltid=AfmBOoroBHHTKVUttqPnPy5bgCDKfXXGCzmz5BSOEOaqiBWlc4pZZ8l1&id=45529565954288
